search_method,method_label,dataset,threshold,step,candidate_size_before,centroid,a_count,d_count,queried_value,feasible,pruned_count,candidate_size_after
balanced,Balanced (Ours),redis:SET,140200.000000,27,4,C62,3,1,134235.656000,0,1,3
balanced,Balanced (Ours),redis:SET,140200.000000,28,3,C50,1,1,142736.510000,1,1,2
balanced,Balanced (Ours),redis:SET,140200.000000,29,2,C53,1,1,139827.748000,0,1,1
balanced,Balanced (Ours),redis:SET,140200.000000,30,1,C54,1,1,140163.294000,0,1,0
random,Random-candidate,redis:SET,140200.000000,1,96,C50,8,12,142736.510000,1,8,88
random,Random-candidate,redis:SET,140200.000000,2,88,C62,12,8,134235.656000,0,8,80
random,Random-candidate,redis:SET,140200.000000,3,80,C08,6,12,387018.994000,1,6,74
random,Random-candidate,redis:SET,140200.000000,4,74,C46,7,6,165728.370000,1,7,67
random,Random-candidate,redis:SET,140200.000000,5,67,C89,17,3,106012.198000,0,3,64
random,Random-candidate,redis:SET,140200.000000,6,64,C86,20,1,108146.026000,0,1,63
random,Random-candidate,redis:SET,140200.000000,7,63,C43,2,5,155689.350000,1,2,61
random,Random-candidate,redis:SET,140200.000000,8,61,C84,2,6,109346.466000,0,6,55
random,Random-candidate,redis:SET,140200.000000,9,55,C76,11,2,129127.364000,0,2,53
random,Random-candidate,redis:SET,140200.000000,10,53,C37,9,3,194783.234000,1,9,44
random,Random-candidate,redis:SET,140200.000000,11,44,C65,2,6,137175.558000,0,6,38
random,Random-candidate,redis:SET,140200.000000,12,38,C55,4,6,157005.124000,1,4,34
random,Random-candidate,redis:SET,140200.000000,13,34,C48,3,6,166446.472000,1,3,31
random,Random-candidate,redis:SET,140200.000000,14,31,C56,2,4,164312.350000,1,2,29
random,Random-candidate,redis:SET,140200.000000,15,29,C32,1,10,187339.874000,1,1,28
random,Random-candidate,redis:SET,140200.000000,16,28,C49,1,2,159337.420000,1,1,27
random,Random-candidate,redis:SET,140200.000000,17,27,C33,1,3,183621.396000,1,1,26
random,Random-candidate,redis:SET,140200.000000,18,26,C78,9,1,124075.252000,0,1,25
random,Random-candidate,redis:SET,140200.000000,19,25,C30,1,4,217432.604000,1,1,24
random,Random-candidate,redis:SET,140200.000000,20,24,C68,2,3,133478.666000,0,3,21
random,Random-candidate,redis:SET,140200.000000,21,21,C52,1,2,162761.728000,1,1,20
random,Random-candidate,redis:SET,140200.000000,22,20,C67,1,4,138449.522000,0,4,16
random,Random-candidate,redis:SET,140200.000000,23,16,C35,2,3,184033.612000,1,2,14
random,Random-candidate,redis:SET,140200.000000,24,14,C40,2,1,168668.442000,1,2,12
random,Random-candidate,redis:SET,140200.000000,25,12,C24,1,4,225414.962000,1,1,11
random,Random-candidate,redis:SET,140200.000000,26,11,C34,1,2,209730.084000,1,1,10
random,Random-candidate,redis:SET,140200.000000,27,10,C58,5,1,151573.978000,1,5,5
random,Random-candidate,redis:SET,140200.000000,28,5,C60,2,1,137175.040000,0,1,4
random,Random-candidate,redis:SET,140200.000000,29,4,C53,1,1,139827.748000,0,1,3
random,Random-candidate,redis:SET,140200.000000,30,3,C57,2,1,137106.260000,0,1,2
random,Random-candidate,redis:SET,140200.000000,31,2,C63,1,1,153432.282000,1,1,1
random,Random-candidate,redis:SET,140200.000000,32,1,C54,1,1,140163.294000,0,1,0
